stmt_id,stmt_date,statement,topics,action_date,action,action_type,source,source_url,days_diff,score,confirmed,fulfilled,notes
20260330_br0000,2026-03-30,Presidential Message on National Vietnam War Veterans Day,"안보/군사, 경제/세금, 규제완화, 사법/법무, 선거/정치, 미디어, 보건",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,1,0.3,N,,
20260326_br0002,2026-03-26,"Congressional Bills H.R. 3377, H.R. 7194, H.R. 7211 Signed into Law","안보/군사, 사법/법무, 선거/정치",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,5,0.3,N,,
20260325_br0003,2026-03-25,First Lady Melania Trump Convenes Record 45 Nations at the White House and Introduces American-Built Humanoid,"안보/군사, 경제/세금, 에너지, 규제완화, 선거/정치, 미디어",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,6,0.3,N,,
20260324_br0004,2026-03-24,"First Lady Melania Trump Launches Fostering the Future Together, 45 Member Nations Attend the Inaugural Coalition Summit","무역/관세, 이민/국경, 외교/동맹, 경제/세금, 에너지, 규제완화, 사법/법무, 선거/정치, 미디어",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,7,0.4,Y,Y,
20260323_br0005,2026-03-23,"Presidential Message on the Anniversary of Patrick Henry’s “Give Me Liberty, Or Give Me Death!” Speech","안보/군사, 경제/세금, 선거/정치",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,8,0.3,N,,
20260320_br0006,2026-03-20,Congressional Bill S. 4138 Signed into Law,"안보/군사, 사법/법무, 선거/정치",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,11,0.3,N,,
20260320_br0008,2026-03-20,First Lady Melania Trump Announces 2026 Spring Garden Tours,"사법/법무, 선거/정치",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,11,0.3,N,,
20260319_br0009,2026-03-19,First Lady Melania Trump’s Fostering the Future Together Assembles Leaders from 45 Nations and 28 Tech Entities,"외교/동맹, 경제/세금, 에너지, 규제완화, 선거/정치",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,12,0.3,N,,
20260317_br0012,2026-03-17,Presidential Message on Saint Patrick’s Day and Irish American Heritage Month,"안보/군사, 경제/세금, 에너지, 사법/법무",2026-03-24,"[조치] Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 2026",policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/greek-independence-day-a-national-day-of-celebration-of-greek-and-american-democracy-2026/,7,0.4,Y,Y,
20260316_br0013,2026-03-16,America 250: Presidential Message on the Birthday of President James Madison,"안보/군사, 경제/세금, 규제완화, 사법/법무, 선거/정치",2026-03-31,[조치] Ensuring Citizenship Verification and Integrity in Federal Elections,policy,White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/2026/03/ensuring-citizenship-verification-and-integrity-in-federal-elections/,15,0.3,N,,
